layer,L2,MAE,cosine_sim,min_a,min_b,max_a,max_b
model.layers.26.mlp.down_proj.scales,1.865234375,0.005344390869140625,0.9775390625,0.003448486328125,0.0019407272338867188,0.10986328125,0.144287109375
model.layers.26.mlp.gate_proj.scales,0.99951171875,0.0026721954345703125,0.9892578125,0.005401611328125,0.004604339599609375,0.06396484375,0.049346923828125
model.layers.26.mlp.up_proj.scales,3.1640625,0.009002685546875,0.98193359375,0.0048828125,0.00218963623046875,0.0625,0.11407470703125
model.layers.26.self_attn.k_proj.scales,0.106689453125,0.0015048980712890625,0.9775390625,0.003173828125,0.002685546875,0.0250244140625,0.0281829833984375
model.layers.26.self_attn.o_proj.scales,0.923828125,0.006267547607421875,0.9873046875,0.00323486328125,0.004344940185546875,0.0986328125,0.105224609375
model.layers.26.self_attn.q_proj.scales,0.2098388671875,0.00121307373046875,0.98828125,0.002471923828125,0.0023593902587890625,0.0296630859375,0.022491455078125
model.layers.26.self_attn.v_proj.scales,0.77734375,0.01300048828125,0.98046875,0.0040283203125,0.00449371337890625,0.035888671875,0.05859375
model.layers.27.mlp.down_proj.scales,1.5849609375,0.00421905517578125,0.966796875,0.0040283203125,0.002994537353515625,0.2138671875,0.286376953125
model.layers.27.mlp.gate_proj.scales,0.77978515625,0.0020618438720703125,0.9873046875,0.00439453125,0.00450897216796875,0.051025390625,0.053009033203125
model.layers.27.mlp.up_proj.scales,4.12890625,0.0113677978515625,0.9716796875,0.004241943359375,0.002063751220703125,0.052490234375,0.1849365234375
model.layers.27.self_attn.k_proj.scales,0.11407470703125,0.0014896392822265625,0.9697265625,0.0027923583984375,0.0024013519287109375,0.0252685546875,0.030670166015625
model.layers.27.self_attn.o_proj.scales,1.2392578125,0.00795745849609375,0.9287109375,0.003662109375,0.004947662353515625,0.2412109375,0.160888671875
model.layers.27.self_attn.q_proj.scales,0.2099609375,0.001010894775390625,0.98291015625,0.00299072265625,0.0025844573974609375,0.028076171875,0.034698486328125
model.layers.27.self_attn.v_proj.scales,0.96337890625,0.0159912109375,0.97265625,0.0031280517578125,0.003173828125,0.042236328125,0.07421875
model.layers.3.mlp.down_proj.scales,0.896484375,0.002422332763671875,0.99267578125,0.00469970703125,0.0038738250732421875,0.0712890625,0.07281494140625
model.layers.3.mlp.gate_proj.scales,2.025390625,0.00366973876953125,0.95458984375,0.005584716796875,0.006313323974609375,0.046875,0.10821533203125
model.layers.3.mlp.up_proj.scales,2.7578125,0.00775146484375,0.97119140625,0.003326416015625,0.003841400146484375,0.040283203125,0.07708740234375
model.layers.3.self_attn.k_proj.scales,1.365234375,0.022064208984375,0.9697265625,0.002838134765625,0.006427764892578125,0.0380859375,0.11798095703125
model.layers.3.self_attn.o_proj.scales,0.23583984375,0.0013799667358398438,0.99609375,0.00457763671875,0.004917144775390625,0.08935546875,0.1072998046875
model.layers.3.self_attn.q_proj.scales,2.798828125,0.0185089111328125,0.95458984375,0.0026092529296875,0.00868988037109375,0.03955078125,0.1312255859375
model.layers.3.self_attn.v_proj.scales,1.03515625,0.0180206298828125,0.943359375,0.00182342529296875,0.013153076171875,0.0223388671875,0.056182861328125
model.layers.4.mlp.down_proj.scales,1.4013671875,0.003971099853515625,0.990234375,0.00390625,0.002864837646484375,0.09423828125,0.091796875
model.layers.4.mlp.gate_proj.scales,2.783203125,0.005367279052734375,0.95556640625,0.005401611328125,0.00891876220703125,0.06298828125,0.11322021484375
model.layers.4.mlp.up_proj.scales,5.3046875,0.0156402587890625,0.97119140625,0.0036773681640625,0.0036945343017578125,0.0498046875,0.0897216796875
model.layers.4.self_attn.k_proj.scales,0.1568603515625,0.002193450927734375,0.9833984375,0.002838134765625,0.0033130645751953125,0.034423828125,0.043609619140625
model.layers.4.self_attn.o_proj.scales,0.261962890625,0.0015058517456054688,0.9951171875,0.0037689208984375,0.00429534912109375,0.076171875,0.08929443359375
model.layers.4.self_attn.q_proj.scales,0.494873046875,0.003063201904296875,0.95703125,0.00213623046875,0.0043792724609375,0.0556640625,0.04315185546875
model.layers.4.self_attn.v_proj.scales,0.257080078125,0.003971099853515625,0.9326171875,0.0016937255859375,0.004344940185546875,0.0225830078125,0.02349853515625
model.layers.5.mlp.down_proj.scales,1.1611328125,0.0033283233642578125,0.9931640625,0.003997802734375,0.0029621124267578125,0.125,0.132568359375
model.layers.5.mlp.gate_proj.scales,1.6083984375,0.0030612945556640625,0.97021484375,0.00482177734375,0.0063629150390625,0.0615234375,0.07769775390625
model.layers.5.mlp.up_proj.scales,4.21875,0.01230621337890625,0.974609375,0.003173828125,0.00426483154296875,0.056884765625,0.11834716796875
model.layers.5.self_attn.k_proj.scales,0.2315673828125,0.00311279296875,0.97021484375,0.00274658203125,0.0024013519287109375,0.03857421875,0.06500244140625
model.layers.5.self_attn.o_proj.scales,0.40185546875,0.0022983551025390625,0.98828125,0.00396728515625,0.003856658935546875,0.0654296875,0.0684814453125
model.layers.5.self_attn.q_proj.scales,0.55419921875,0.003063201904296875,0.94970703125,0.0019378662109375,0.002628326416015625,0.03955078125,0.05767822265625
model.layers.5.self_attn.v_proj.scales,0.266845703125,0.00374603271484375,0.93408203125,0.00238037109375,0.004817962646484375,0.0400390625,0.0428466796875
model.layers.6.mlp.down_proj.scales,0.96533203125,0.00274658203125,0.99560546875,0.004547119140625,0.00403594970703125,0.09423828125,0.10882568359375
model.layers.6.mlp.gate_proj.scales,1.05078125,0.0018405914306640625,0.982421875,0.005340576171875,0.006381988525390625,0.06494140625,0.0777587890625
model.layers.6.mlp.up_proj.scales,2.724609375,0.008026123046875,0.98681640625,0.004608154296875,0.005535125732421875,0.042236328125,0.0760498046875
model.layers.6.self_attn.k_proj.scales,0.295166015625,0.004497528076171875,0.94384765625,0.0032196044921875,0.0024089813232421875,0.037841796875,0.053070068359375
model.layers.6.self_attn.o_proj.scales,0.3583984375,0.0019550323486328125,0.9912109375,0.00360107421875,0.004329681396484375,0.07470703125,0.07086181640625
model.layers.6.self_attn.q_proj.scales,0.487548828125,0.0028400421142578125,0.95947265625,0.00165557861328125,0.0014362335205078125,0.06787109375,0.08160400390625
model.layers.6.self_attn.v_proj.scales,0.1260986328125,0.0018520355224609375,0.9453125,0.0022125244140625,0.003353118896484375,0.0281982421875,0.017822265625
model.layers.7.mlp.down_proj.scales,1.4111328125,0.004070281982421875,0.99609375,0.004547119140625,0.0033359527587890625,0.11181640625,0.12188720703125
model.layers.7.mlp.gate_proj.scales,0.986328125,0.00200653076171875,0.9873046875,0.00457763671875,0.004360198974609375,0.07177734375,0.08648681640625
model.layers.7.mlp.up_proj.scales,3.853515625,0.01143646240234375,0.9873046875,0.00482177734375,0.005893707275390625,0.057373046875,0.103759765625
model.layers.7.self_attn.k_proj.scales,0.1973876953125,0.0026836395263671875,0.9697265625,0.00341796875,0.00341033935546875,0.03564453125,0.0447998046875
model.layers.7.self_attn.o_proj.scales,0.324951171875,0.0018901824951171875,0.99169921875,0.0032196044921875,0.003841400146484375,0.08935546875,0.0958251953125
model.layers.7.self_attn.q_proj.scales,0.41845703125,0.00252532958984375,0.96875,0.001953125,0.0019931793212890625,0.0625,0.0777587890625
model.layers.7.self_attn.v_proj.scales,0.202880859375,0.00260162353515625,0.94970703125,0.002532958984375,0.00498199462890625,0.0291748046875,0.0294342041015625
model.layers.8.mlp.down_proj.scales,0.91748046875,0.002567291259765625,0.99609375,0.00482177734375,0.004314422607421875,0.111328125,0.11016845703125
model.layers.8.mlp.gate_proj.scales,1.0185546875,0.0018310546875,0.98388671875,0.005218505859375,0.0058441162109375,0.0595703125,0.06890869140625
model.layers.8.mlp.up_proj.scales,2.623046875,0.00756072998046875,0.97900390625,0.00408935546875,0.006023406982421875,0.05419921875,0.0623779296875
model.layers.8.self_attn.k_proj.scales,0.255615234375,0.00388336181640625,0.96435546875,0.0037078857421875,0.0027103424072265625,0.06591796875,0.0706787109375
